symbol,ordType,side,execution_count_bucket,order_episode_count,filled_qty_sum,partial_or_multi_fill_count,ambiguous_order_count
LINKUSDT,Limit,Buy,2_TO_5_FILLS,7,3443,7,0
LINKUSDT,Limit,Buy,6_PLUS_FILLS,11,2220,11,0
LINKUSDT,Limit,Buy,SINGLE_FILL,5,777,0,0
LINKUSDT,Limit,Sell,2_TO_5_FILLS,1,222,1,0
LINKUSDT,Limit,Sell,6_PLUS_FILLS,5,3552,5,0
LINKUSDT,Limit,Sell,SINGLE_FILL,3,866,0,0
LINKUSDT,Market,Sell,6_PLUS_FILLS,1,444,1,0
LINKUSDT,Market,Sell,SINGLE_FILL,2,1356,0,0
LINKUSDTZ20,Limit,Buy,SINGLE_FILL,2,222,0,0
LINKUSDTZ20,Limit,Sell,SINGLE_FILL,1,210,0,0
LINKUSDTZ20,Market,Buy,6_PLUS_FILLS,1,321,1,0
LINKUSDTZ20,Market,Sell,SINGLE_FILL,2,333,0,0
LTCH21,Limit,Buy,2_TO_5_FILLS,38,4131,38,0
LTCH21,Limit,Buy,6_PLUS_FILLS,29,4525,29,0
LTCH21,Limit,Buy,SINGLE_FILL,19,2053,0,0
LTCH21,Limit,Sell,2_TO_5_FILLS,23,3935,23,0
LTCH21,Limit,Sell,6_PLUS_FILLS,17,4385,17,0
LTCH21,Limit,Sell,SINGLE_FILL,8,795,0,0
LTCH21,Market,Sell,2_TO_5_FILLS,1,7,1,0
LTCH21,Market,Sell,6_PLUS_FILLS,5,1587,5,0
LTCM20,Limit,Buy,6_PLUS_FILLS,8,8067,8,0
LTCM20,Limit,Sell,2_TO_5_FILLS,1,500,1,0
LTCM20,Limit,Sell,6_PLUS_FILLS,6,6626,6,0
LTCM20,Limit,Sell,SINGLE_FILL,2,222,0,0
LTCM20,Market,Sell,6_PLUS_FILLS,1,719,1,0
LTCM21,Limit,Buy,2_TO_5_FILLS,3,300,3,0
LTCM21,Limit,Buy,6_PLUS_FILLS,4,400,4,0
LTCM21,Limit,Buy,SINGLE_FILL,1,100,0,0
LTCM21,Limit,Sell,6_PLUS_FILLS,2,800,2,0
LTCU20,Limit,Buy,2_TO_5_FILLS,28,5395,28,0
LTCU20,Limit,Buy,6_PLUS_FILLS,5,3072,5,0
LTCU20,Limit,Buy,SINGLE_FILL,20,2095,0,0
LTCU20,Limit,Sell,2_TO_5_FILLS,14,1716,14,0
LTCU20,Limit,Sell,6_PLUS_FILLS,6,3052,6,0
LTCU20,Limit,Sell,SINGLE_FILL,6,600,0,0
LTCU20,Market,Buy,2_TO_5_FILLS,2,600,2,0
LTCU20,Market,Sell,6_PLUS_FILLS,3,3692,3,0
LTCU20,Market,Sell,SINGLE_FILL,2,2102,0,0
LTCU21,Limit,Buy,2_TO_5_FILLS,5,1011,5,0
LTCU21,Limit,Buy,6_PLUS_FILLS,6,722,6,0
LTCU21,Limit,Buy,SINGLE_FILL,2,211,0,0
LTCU21,Limit,Sell,6_PLUS_FILLS,3,796,3,0
LTCU21,Market,Sell,2_TO_5_FILLS,1,77,1,0
LTCU21,Market,Sell,6_PLUS_FILLS,1,71,1,0
LTCUSD,Limit,Buy,2_TO_5_FILLS,330,685173,330,1
LTCUSD,Limit,Buy,6_PLUS_FILLS,175,505973,175,3
LTCUSD,Limit,Buy,SINGLE_FILL,261,312906,0,0
LTCUSD,Limit,Sell,2_TO_5_FILLS,233,547293,233,0
LTCUSD,Limit,Sell,6_PLUS_FILLS,136,451800,136,4
LTCUSD,Limit,Sell,SINGLE_FILL,68,104807,0,0
LTCUSD,Market,Buy,2_TO_5_FILLS,16,42510,16,0
LTCUSD,Market,Buy,6_PLUS_FILLS,8,54321,8,0
LTCUSD,Market,Buy,SINGLE_FILL,11,5982,0,0
LTCUSD,Market,Sell,2_TO_5_FILLS,57,156391,57,0
LTCUSD,Market,Sell,6_PLUS_FILLS,40,277998,40,0
LTCUSD,Market,Sell,SINGLE_FILL,17,17571,0,0
LTCUSD,StopLimit,Sell,SINGLE_FILL,1,51005,0,0
LTCZ20,Limit,Buy,2_TO_5_FILLS,26,3669,26,0
