cycle_id,symbol,is_btc_first_scope,direction,open_time,close_time,duration_seconds,initial_qty,maximum_abs_qty,terminal_qty,opening_exec_count,add_count,reduce_count,flip_origin,close_type,opening_execID,closing_execID,cycle_event_count,funding_event_count,gross_pnl_analytical,reported_pnl_total,reported_pnl_count,fee,funding,wallet_net_candidate,wallet_net_status,pnl_currency,reported_pnl_available,ordering_confidence,action_confidence,accounting_confidence,price_confidence,wallet_confidence,overall_confidence,confidence_status,accounting_position_cycle_ids,strategy_fidelity
XBTUSD-C0545,XBTUSD,True,LONG,2023-03-04T19:55:14.975000Z,2023-03-07T08:08:23.035000Z,216788.06,11700,15000,0,1,2,2,NONE,FULL_CLOSE,90c24a40-916a-8a82-c028-de4e4559b182,9be86c0f-b31c-6d14-d329-68b9d2cb2d97,6,8,493050,0,0,63755,-35499,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0545,BEHAVIORAL_APPROXIMATION
XBTUSD-C0546,XBTUSD,True,LONG,2023-03-07T15:00:59.421000Z,2023-03-08T03:23:58.862000Z,44579.441,1900,55000,0,1,3,12,NONE,FULL_CLOSE,6885e60d-4f5c-d689-5497-9df09a5b254e,da6f10c1-daaa-4695-d81e-9e066de203eb,17,1,571149.9999999999999999999999,0,0,236731,14413,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0546,BEHAVIORAL_APPROXIMATION
XBTUSD-C0547,XBTUSD,True,LONG,2023-03-08T05:40:56.718000Z,2023-03-08T12:54:35.723000Z,26019.005,40000,40000,0,1,0,14,NONE,FULL_CLOSE,2f4d1f96-4b1f-f260-a35e-f137882d89b8,ea7eadcc-c8b3-036f-5b01-b0abd17fcfa9,16,1,1110718,0,0,173034,11327,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0547,BEHAVIORAL_APPROXIMATION
XBTUSD-C0548,XBTUSD,True,LONG,2023-03-08T22:56:10.735000Z,2023-03-10T09:38:57.952000Z,124967.217,40000,700000,0,1,35,132,NONE,FULL_CLOSE,134151e7-d48d-ea8e-1f5c-76c0a46a04a1,e96acc81-2c32-8e3b-1dd3-7696d7f4fe37,169,4,-188268075.0000000000000000005,0,0,3239086,72645,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0548,BEHAVIORAL_APPROXIMATION
DOGEUSD-C0030,DOGEUSD,False,SHORT,2023-03-10T04:05:07.531000Z,2023-03-10T09:53:30.973000Z,20903.442,-267,2888,0,1,6,3,NONE,FULL_CLOSE,929a1b21-256b-ea37-04c4-a7a1ad76095d,f3cebb90-be25-c4c4-37f8-08468da547a8,11,0,311514.0000000000000000000000,0,0,26755,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,DOGEUSD-C0030,BEHAVIORAL_APPROXIMATION
LTCUSD-C0055,LTCUSD,False,SHORT,2023-03-10T04:47:37.295000Z,2023-03-10T09:53:47.496000Z,18370.201,-1,1111,0,1,3,1,NONE,FULL_CLOSE,4818f35d-4870-c171-2bcd-286d46fe9385,83879f42-f74d-7a03-680c-9f32ea652d35,6,0,798330.0000000000000000000000,0,0,17494,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LTCUSD-C0055,BEHAVIORAL_APPROXIMATION
XBTUSD-C0549,XBTUSD,True,SHORT,2023-03-10T10:26:38.738000Z,2023-03-10T14:19:26.941000Z,13968.203,-2900,110000,0,1,18,15,NONE,FULL_CLOSE,68b4a740-940d-8a7c-cde7-12d9ca81a26e,ff89e9cf-06da-b0a2-c6eb-782fc10dfe53,35,1,2618760.000000000000000000000,0,0,551476,30611,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0549,BEHAVIORAL_APPROXIMATION
DOGEUSD-C0031,DOGEUSD,False,SHORT,2023-03-11T00:50:06.777000Z,2023-03-11T05:13:32.383000Z,15805.606,-666,7530,0,1,4,7,NONE,FULL_CLOSE,813e0fc5-69d7-9054-fa17-391e4a1515a5,c5f9672d-16f5-c9be-79df-0d6a202ff43a,13,1,945397.0000000000000000000000,0,0,47811,-5041,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,DOGEUSD-C0031,BEHAVIORAL_APPROXIMATION
XBTUSD-C0550,XBTUSD,True,LONG,2023-03-11T08:09:19.869000Z,2023-03-11T08:46:05.764000Z,2205.895,82600,200000,0,1,13,46,NONE,FULL_CLOSE,083fca22-2b03-ed52-c0d0-d566debc242c,fb1d07d1-4105-23d1-8c72-44ed3115dd06,61,0,9126950.000,0,0,1497094,0,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,XBTUSD-C0550,BEHAVIORAL_APPROXIMATION
LTCUSD-C0056,LTCUSD,False,LONG,2023-03-11T08:33:11.350000Z,2023-03-22T19:31:23.883000Z,989892.533,196,50882,-201,1,202,235,NONE,FLIP,f66ad85a-4aea-0137-8090-a8525968ef85,c32497fb-bae5-8c65-38b0-58f498a060f1,439,34,63339321.99999999999999999997,0,0,1406939,1388490,,AGGREGATE_ONLY_NOT_ALIGNED,XBT,,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,"LTCUSD-C0056,LTCUSD-C0057",BEHAVIORAL_APPROXIMATION
