event_time,source_row_number,execID,symbol,spec_id,side,signed_contract_qty,price,lastPx,avgPx,observed_price,observed_last_px,observed_avg_px,execCost,configured_multiplier_raw,configured_tick_size,cost_implied_price,canonical_execution_price,canonical_execCost_raw,canonical_exec_cost_exact,price_delta,abs_price_delta,delta_in_ticks,cost_implied_price_on_tick_grid,observed_last_px_on_tick_grid,lastPx_expected_execCost_raw,difference_raw,difference_raw_per_signed_qty,price_resolution_method,price_precision_status,reconciliation_status,reconciliation_reason,homeNotional,foreignNotional,candidate_foreign_over_home,orderID,trdMatchID,cumQty,lastQty
2021-02-02T07:36:11.965000Z,43203,312ec3fe-7ff5-d2b6-5f7e-d8ab1dbbb962,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.587,23.587,23.5875,23.587,23.587,23.5875,4245750,10000,0.0005,23.5875,23.5875,4245750.0000,True,0.0005,0.0005,1,True,True,4245660.000,90.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,61.55950752393981,-1452.0348837209303,-23.58750000000000051373055556,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,94,18
2021-02-02T07:36:32.069000Z,43204,71c82506-ddcb-fee1-1d5a-a5940e4f2847,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,17,23.587,23.587,23.5875,23.587,23.587,23.5875,4009875,10000,0.0005,23.5875,23.5875,4009875.0000,True,0.0005,0.0005,1,True,True,4009790.000,85.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,58.13953488372093,-1371.3662790697674,-23.58749999999999937435000000,6aa3b3d6-7c13-40af-aa53-9cd16d9d4758,,111,17
2021-02-02T07:48:58.274000Z,43210,4898ca18-9a7f-5e12-f325-8a76fc70f648,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,28,23.575,23.575,23.575,23.575,23.575,23.575,6601000,10000,0.0005,23.575,23.575,6601000.000,True,0.000,0.000,0,True,True,6601000.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,95.95613433858807,-2262.165867032214,-23.57500000000000260275178571,09ad08ed-b584-4c04-ba6b-5123166ed5ec,,28,28
2021-02-02T07:48:58.389000Z,43211,919482a6-dc52-15ae-8e35-8a9422a7cdee,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,14,23.575,23.575,23.575,23.575,23.575,23.575,3300500,10000,0.0005,23.575,23.575,3300500.000,True,0.000,0.000,0,True,True,3300500.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,47.978067169294036,-1131.082933516107,-23.57500000000000211138142857,09ad08ed-b584-4c04-ba6b-5123166ed5ec,,42,14
2021-02-02T07:48:58.497000Z,43212,cbd49c93-3830-4485-f29b-283cdef49577,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.575,23.575,23.575,23.575,23.575,23.575,4243500,10000,0.0005,23.575,23.575,4243500.000,True,0.000,0.000,0,True,True,4243500.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,61.6860863605209,-1454.2494859492804,-23.57500000000000295852777778,09ad08ed-b584-4c04-ba6b-5123166ed5ec,,60,18
2021-02-02T07:49:02.876000Z,43213,8a8085d3-eae7-a4de-6d98-9508c2afb5d2,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,23,23.575,23.575,23.575,23.575,23.575,23.575,5422250,10000,0.0005,23.575,23.575,5422250.000,True,0.000,0.000,0,True,True,5422250.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,78.79410757108599,-1857.5710859883523,-23.57500000000000108827934783,09ad08ed-b584-4c04-ba6b-5123166ed5ec,,83,23
2021-02-02T07:50:12.479000Z,43214,6a9242e6-25ef-ecc3-c601-af9d8ff34c8b,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.575,23.575,23.575,23.575,23.575,23.575,4243500,10000,0.0005,23.575,23.575,4243500.000,True,0.000,0.000,0,True,True,4243500.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,61.664953751284685,-1453.7512846865366,-23.57500000000000245074375000,09ad08ed-b584-4c04-ba6b-5123166ed5ec,,101,18
2021-02-02T07:50:12.603000Z,43215,87667d68-271e-d9a4-5932-f2e7181a3f9f,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,10,23.575,23.575,23.575,23.575,23.575,23.575,2357500,10000,0.0005,23.575,23.575,2357500.000,True,0.000,0.000,0,True,True,2357500.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,34.258307639602606,-807.6396026036314,-23.57499999999999893602450000,09ad08ed-b584-4c04-ba6b-5123166ed5ec,,111,10
2021-02-02T07:51:53.526000Z,43216,9a824f7f-0a28-fbc5-ff62-c3abafb4a992,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,18,23.562,23.562,23.5625,23.562,23.562,23.5625,4241250,10000,0.0005,23.5625,23.5625,4241250.0000,True,0.0005,0.0005,1,True,True,4241160.000,90.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,61.6860863605209,-1453.4784098697737,-23.56249999999999989868055556,77390e2e-6b05-4e3e-b42e-c765831cc420,,18,18
2021-02-02T07:51:53.715000Z,43217,7533ea22-f130-511e-723f-eb12110d7d03,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,37,23.562,23.562,23.5625,23.562,23.562,23.5625,8718125,10000,0.0005,23.5625,23.5625,8718125.0000,True,0.0005,0.0005,1,True,True,8717940.000,185.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,126.79917751884852,-2987.7056202878684,-23.56250000000000116325675676,77390e2e-6b05-4e3e-b42e-c765831cc420,,55,37
2021-02-02T07:51:58.347000Z,43218,314b47ce-1727-ae8b-d795-ba9eeca71509,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,12,23.562,23.562,23.5625,23.562,23.562,23.5625,2827500,10000,0.0005,23.5625,23.5625,2827500.0000,True,0.0005,0.0005,1,True,True,2827440.000,60.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,41.1240575736806,-968.9856065798492,-23.56250000000000151979166667,77390e2e-6b05-4e3e-b42e-c765831cc420,,67,12
2021-02-02T07:52:04.310000Z,43219,aaec0816-e287-bcf1-a083-89f252078d12,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,17,23.562,23.562,23.5625,23.562,23.562,23.5625,4005625,10000,0.0005,23.5625,23.5625,4005625.0000,True,0.0005,0.0005,1,True,True,4005540.000,85.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,58.25908156271419,-1372.7296093214532,-23.56250000000000168428676471,77390e2e-6b05-4e3e-b42e-c765831cc420,,84,17
2021-02-02T07:52:04.406000Z,43220,1fc4fd4d-8be0-d75e-4d63-2d02bc53f569,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,13,23.562,23.562,23.5625,23.562,23.562,23.5625,3063125,10000,0.0005,23.5625,23.5625,3063125.0000,True,0.0005,0.0005,1,True,True,3063060.000,65.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,44.55106237148732,-1049.73440712817,-23.56250000000000050503846154,77390e2e-6b05-4e3e-b42e-c765831cc420,,97,13
2021-02-02T07:52:13.099000Z,43221,e1ebf37e-816e-89e4-190f-cd132aac00f0,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,14,23.562,23.562,23.5625,23.562,23.562,23.5625,3298750,10000,0.0005,23.5625,23.5625,3298750.0000,True,0.0005,0.0005,1,True,True,3298680.000,70.000,5.000,RECOVERED_FROM_EXEC_COST_OFFICIAL_MULTIPLIER,OBSERVED_PRICE_COARSENED_BY_ONE_TICK,PASS,,47.978067169294036,-1130.4832076764908,-23.56250000000000159968928571,77390e2e-6b05-4e3e-b42e-c765831cc420,,111,14
2021-02-02T16:21:28.509000Z,43361,4e934157-6b70-31aa-e58b-518f70743ab8,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Sell,-999,22.854,22.854,22.854,22.854,22.854,22.854,-228311460,10000,0.0005,22.854,22.854,-228311460.000,True,0.000,0.000,0,True,True,-228311460.000,0.000,-0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,-3461.5384615384614,79110,-22.85400000000000091416000000,0de0a181-112c-4d0f-a908-3b9a8b88e6e5,,999,999
2021-02-03T14:46:28.700000Z,44315,2dd92706-7130-13fc-f644-43172edeadc8,LINKUSDT,LINKUSDT-QUANTO-XBT-2020,Buy,111,25.436,25.436,25.436,25.436,25.436,25.436,28233960,10000,0.0005,25.436,25.436,28233960.000,True,0.000,0.000,0,True,True,28233960.000,0.000,0.000,OBSERVED_LAST_PX_EXACT,EXACT,PASS,,404.37158469945354,-10285.5956284153,-25.43599999999999939797945946,120086be-8145-4867-8351-1004539ef282,,111,111
