symbol,model,rows_seen,rows_with_future_label,action_accuracy,direction_accuracy,action_macro_f1,action_weighted_f1,target_exposure_mae,target_exposure_correlation,open_timing_error_seconds,close_timing_error_seconds,add_recall,reduce_recall,flip_recall,cycle_direction_match,confidence_calibration_gap
LINKUSDT,frequency_baseline,35,34,0.5294117647058824,0.8529411764705882,0.1730769230769231,0.36651583710407243,0.20473953971261483,0.0461616529426238,4853702.41425,41295.29191666667,1.0,0.0,,1.0,0.2087784502441979
LINKUSDT,distilled_rules,35,34,0.23529411764705882,0.7941176470588235,0.10004810004810004,0.31194295900178254,0.23181063246483366,0.0842364180274366,4853702.41425,25878.520416666666,0.3888888888888889,0.14285714285714285,,0.9310344827586207,0.5020364228725814
LINKUSDT,cross_asset_logistic,35,34,0.6764705882352942,0.8529411764705882,0.3655523255813954,0.5719049247606018,0.1951582493049493,0.1944447375777745,4853702.41425,25919.626583333335,1.0,0.7142857142857143,,1.0,0.09322156961734367
LINKUSDTZ20,frequency_baseline,6,5,0.2,0.2,0.08,0.08,0.5179681052045045,-0.10150295871838921,951627.304,27132.803499999998,1.0,,,0.3333333333333333,0.2984711999854217
LINKUSDTZ20,distilled_rules,6,5,0.0,0.2,0.0,0.0,0.6581230494721347,-0.20630821766862026,951627.304,23273.2535,0.0,,,0.3333333333333333,0.6962703942107019
LINKUSDTZ20,cross_asset_logistic,6,5,0.2,0.2,0.06666666666666668,0.06666666666666668,0.5822088437659718,-0.14651480522439655,951627.304,27132.803499999998,1.0,,,0.3333333333333333,0.3011185080628204
LTCH21,frequency_baseline,140,139,0.5683453237410072,0.9496402877697842,0.1811926605504587,0.4119200052801795,0.16542333184416372,0.268952976982156,323475.6263333333,57203.19394444446,1.0,0.0,,1.0,0.12485077172515108
LTCH21,distilled_rules,140,139,0.3237410071942446,0.9136690647482014,0.1342840166369578,0.3364324583114257,0.15148950753565155,0.6783308600525725,305035.59449999995,29589.227611111106,0.20253164556962025,0.5957446808510638,,0.9621212121212122,0.3866446906206466
LTCH21,cross_asset_logistic,140,139,0.7266187050359713,0.9496402877697842,0.368858153340912,0.686764570912425,0.07608604646712326,0.9158519926875064,323475.6263333333,28021.165722222217,0.8987341772151899,0.6382978723404256,,1.0,0.1053784962019662
LTCM20,frequency_baseline,18,17,0.23529411764705882,0.5294117647058824,0.06913580246913581,0.13333333333333333,0.27053134491136754,0.23399472535128643,697239.33,85881.11933333334,1.0,0.0,0.0,0.6,0.2666821301519421
LTCM20,distilled_rules,18,17,0.11764705882352941,0.5882352941176471,0.05555555555555555,0.1372549019607843,0.32624756897139573,0.322821789566157,697239.33,46091.80466666666,0.2857142857142857,0.0,0.0,0.6666666666666666,0.5561689081121448
LTCM20,cross_asset_logistic,18,17,0.29411764705882354,0.4117647058823529,0.08382066276803118,0.17750257997936017,0.336045000000782,0.20583517237823315,697239.33,43239.819444444445,1.0,0.2,0.0,0.4666666666666667,0.28523288764196225
LTCM21,frequency_baseline,10,9,0.6666666666666666,0.7777777777777778,0.26666666666666666,0.5333333333333334,0.34217526307500257,0.468699097222727,1621295.643,308571.254,1.0,,,1.0,0.2707537614932076
LTCM21,distilled_rules,10,9,0.1111111111111111,0.8888888888888888,0.05,0.16666666666666666,0.2651190476190476,0.46722309446588484,1621295.643,308571.254,0.16666666666666666,,,1.0,0.5370488370841874
LTCM21,cross_asset_logistic,10,9,0.6666666666666666,0.7777777777777778,0.26666666666666666,0.5333333333333334,0.24767892807249037,0.4569810517659197,1621295.643,308571.254,1.0,,,1.0,0.19077669652749518
LTCU20,frequency_baseline,86,85,0.5529411764705883,0.9058823529411765,0.17803030303030304,0.39376114081996433,0.24982333213623228,0.04027721701495425,591342.7891428572,45792.517483870964,1.0,0.0,,1.0,0.2023551776370201
LTCU20,distilled_rules,86,85,0.35294117647058826,0.8588235294117647,0.15609977324263039,0.41219794584500463,0.19303324109556516,0.5404130839832967,591342.7891428572,27821.773161290323,0.2765957446808511,0.7391304347826086,,0.948051948051948,0.42312168822324003
LTCU20,cross_asset_logistic,86,85,0.6941176470588235,0.9058823529411765,0.3711607499002792,0.6245008094981112,0.1544723952980804,0.5867363423881159,591342.7891428572,33921.47477419355,0.9148936170212766,0.6956521739130435,,1.0,0.07897586236396559
LTCU21,frequency_baseline,18,17,0.5882352941176471,0.8235294117647058,0.18518518518518517,0.43572984749455335,0.2076048125280892,-0.0735056882202123,783946.6755,112078.70300000001,1.0,0.0,,1.0,0.1980222989412228
LTCU21,distilled_rules,18,17,0.23529411764705882,0.7058823529411765,0.11805555555555554,0.2598039215686274,0.23271968185681816,-0.21652030276135537,783946.6755,79136.4602,0.3,0.5,,0.8571428571428571,0.5039646548622859
LTCU21,cross_asset_logistic,18,17,0.5294117647058824,0.8235294117647058,0.18000000000000002,0.42352941176470593,0.20501354711196002,0.20135789081096175,783946.6755,112078.70300000001,0.9,0.0,,1.0,0.21593920879951853
LTCUSD,frequency_baseline,1353,1352,0.5362426035502958,0.9452662721893491,0.0702179176755448,0.3770577531985616,0.1206479699950161,0.29663635715220343,1316968.4148524592,25154.616098591567,1.0,0.0,0.0,0.991466252909232,0.08082404964588291
LTCUSD,distilled_rules,1353,1352,0.32470414201183434,0.8247041420118343,0.13054880798400223,0.37623070677722864,0.0880681492032393,0.6291897847140311,1257684.7615737705,16719.54308802818,0.3452544704264099,0.344,0.0,0.8580294802172227,0.4836896329421938
LTCUSD,cross_asset_logistic,1353,1352,0.75,0.9400887573964497,0.15562046819970995,0.7081888060625452,0.04293656793247578,0.8844553190024887,1316968.4148524592,13761.771489436629,0.9105914718019257,0.704,0.0,0.9860356865787432,0.07715211281744346
LTCZ20,frequency_baseline,100,99,0.5151515151515151,0.9191919191919192,0.16999999999999998,0.3503030303030303,0.20178335630030192,0.21385076607440623,576278.0595,31322.210225,1.0,0.0,,1.0,0.058379192950293535
LTCZ20,distilled_rules,100,99,0.2222222222222222,0.898989898989899,0.09558823529411765,0.2727272727272727,0.2074051086117172,0.2164332624932197,576278.0595,12459.066275000003,0.19607843137254902,0.375,,0.978021978021978,0.4932837287149442
LTCZ20,cross_asset_logistic,100,99,0.5959595959595959,0.9191919191919192,0.3081989247311828,0.5360215053763441,0.14909531960157463,0.5864207648014543,576278.0595,19350.223374999998,0.8431372549019608,0.5,,1.0,0.13485346322058286
LTCZ21,frequency_baseline,15,14,0.35714285714285715,0.9285714285714286,0.17543859649122806,0.18796992481203006,0.4197394935308237,0.3718450165908832,,51975.19044444445,1.0,0.0,,1.0,0.14635717687061484
LTCZ21,distilled_rules,15,14,0.21428571428571427,0.8571428571428571,0.10909090909090909,0.3116883116883117,0.30464916877054254,0.30634206039129747,,13234.254444444443,0.0,0.375,,0.9230769230769231,0.4286826395527294
LTCZ21,cross_asset_logistic,15,14,0.7142857142857143,0.9285714285714286,0.4888888888888889,0.6952380952380952,0.31448992489462374,0.18737389963560286,,9143.860444444443,0.8,0.75,,1.0,0.086504789125968
LUNAUSD,frequency_baseline,75,74,0.527027027027027,0.8378378378378378,0.13411764705882354,0.4034976152623212,0.21840427552912367,0.5614849613837987,1023115.6051666666,47081.28932000001,1.0,0.0,,0.9253731343283582,0.2404271482110252
LUNAUSD,distilled_rules,75,74,0.13513513513513514,0.7972972972972973,0.07840579710144928,0.15624755189972583,0.19187634339146772,0.6561216021261886,1023115.6051666666,35103.24280000001,0.11627906976744186,0.2777777777777778,,0.8805970149253731,0.6411794704767737
LUNAUSD,cross_asset_logistic,75,74,0.06756756756756757,0.8648648648648649,0.021780303030303032,0.05251842751842752,0.12474516674419782,0.8341131400854612,1023115.6051666666,47081.28932000001,1.0,0.0,,0.9552238805970149,0.44132581099927437
TRXH21,frequency_baseline,151,150,0.47333333333333333,0.9133333333333333,0.0922077922077922,0.30551515151515146,0.16444766708030142,0.22095834068101225,410085.0664444444,38488.62454285714,1.0,0.0,,0.9856115107913669,0.2336607454772103
TRXH21,distilled_rules,151,150,0.2866666666666667,0.8733333333333333,0.0890896107154575,0.3486445486653928,0.15377234592837977,0.5702841656158564,410085.0664444444,31267.565985714285,0.29577464788732394,0.3728813559322034,,0.9424460431654677,0.4606686496967393
TRXH21,cross_asset_logistic,151,150,0.6933333333333334,0.92,0.24391434749250193,0.6398353909465021,0.1038991558731035,0.6669091444027997,410085.0664444444,15195.184328571428,0.9154929577464789,0.6610169491525424,,0.9928057553956835,0.08106143360177359
TRXM20,frequency_baseline,37,36,0.3611111111111111,0.8888888888888888,0.13265306122448978,0.19160997732426302,0.22814048109547005,0.18051977469891062,279828.477,31261.062049999997,1.0,0.0,,1.0,0.17137216442204006
